soma_center_1,soma_center_2,soma_angle,soma_polar_angle,axon_bias_1,axon_bias_2,bias_angle,pc_ratio,center_bias_angle,labels_all
205,529,-2.81984209919315,-0.948683298050514-0.316227766016838i,0.833171906656515,-0.553014081157386,-33,0.126963521227546,127.991012904236,SSp-m
271,438,-1.3167885636683,0.251285133416822-0.967913106494426i,-0.936076371042639,-0.351796855551102,22,0.774569883807916,83.956314516304,SSp-m
197,455,-2.06610755787132,-0.475305501868389-0.879820822607444i,-0.997020057303875,-0.0771427594384382,5,0.230157619399711,57.1964067343782,SSp-m
204,482,-2.15879893034246,-0.554700196225229-0.832050294337844i,0.972810955804916,-0.231600613699372,-12,0.0787364433387987,110.298742629494,SSp-m
192,485,-2.31035506431123,-0.673961987522215-0.738766024783967i,-0.107521274463346,0.994202783911702,-83,0.462507042952108,131.453958116788,SSp-m
278,493,-0.96419121820037,0.570081548206294-0.821588113591424i,-0.9964272228818,0.0844558434927036,-4,1.06138276438975,129.600647035156,SSp-m
279,459,-1.17173537821876,0.388553247099925-0.921426271694108i,0.96570855718971,0.25962854729511,16,0.683829742685495,82.1835144819879,SSp-m
181,446,-2.15155268036257,-0.548656441486822-0.836047910837063i,0.996683988340819,0.081369695741339,6,0.160837622293774,127.94218821311,SSp-m
255,397,-1.49507928745454,0.0756447115614352-0.997134834218917i,0.0598142401490973,0.998209525438114,88,0.27797897598488,172.232582846686,SSp-m
249,418,-1.53049557849112,0.0402898401108121-0.999188034748137i,-0.435368908728756,-0.900252138743548,65,0.137115132602239,28.1178332233816,SSp-m
251,443,-1.50020673697602,0.070530981060383-0.997509589282559i,-0.90772704154032,-0.419561220868253,26,0.786616019371819,69.2375969425187,SSp-m
244,448,-1.5707963267949,6.12323399573677e-17-1i,0.865518589341139,-0.500876802721911,-29,0.357265476427132,59.9419742249267,SSp-m
287,447,-1.14575613392224,0.412357398674147-0.911022159861488i,-0.980672905084552,-0.195654422983546,12,0.791339485244251,103.070053485227,SSp-m
300,467,-0.929431966886443,0.598289232484683-0.8012802220777i,0.827352634638668,0.561682844634278,35,1.12968717788299,87.4247867818506,SSp-m
270,470,-1.22425746236095,0.339644463777557-0.940553899691695i,0.698762039238517,0.715354186762913,47,0.520682537702931,115.817019204537,SSp-m
256,480,-1.37961186719788,0.190021906565861-0.981779850590281i,-0.422897673848994,-0.906177442586776,66,0.805221409332204,35.9717280391342,SSp-m
250,507,-1.40101805282656,0.168963815110846-0.985622254813267i,0.872704375129926,0.488248987330322,30,0.849742919763688,109.497978877363,SSp-m
252,513,-1.3016288340092,0.265928998125813-0.963992618206074i,-0.918968588248447,-0.394330741653064,24,2.62985278372005,82.1979206483035,SSp-m
214,530,-2.76108627647743,-0.928476690885259-0.371390676354104i,-0.614326699907616,0.789051776362374,-51,1.38732216083798,73.898396103353,SSp-m
226,534,-2.72336832401056,-0.913811548620257-0.406138466053448i,-0.479440717744202,0.877574269317945,-60,3.89222857769933,85.3136081947357,SSp-m
262,523,-0.812418612584713,0.687744647910783-0.725952683905827i,0.906820382787228,0.42151725155873,26,0.973874453807178,71.4785727353512,SSp-m
195,524,-2.78954833927438,-0.938669759516728-0.344817462679614i,-0.994811288331753,0.101737410069835,-5,0.25667251470262,26.0098804804841,SSp-m
193,535,-3.00519004918885,-0.990711579604409-0.135980020730017i,-0.8359225218044,0.548847462907657,-32,0.546463664213377,41.1032735348444,SSp-m
