id_all,session_all,label_all,outcome_all,spirals
4,11,2,2,1.09375
1,1,2,3,2.01013513513514
1,2,2,3,0.638020833333333
1,3,2,3,0.795454545454545
1,4,2,3,1.53125
1,5,2,3,1.45833333333333
1,6,2,3,0.690789473684211
1,7,2,3,NaN
1,8,2,3,1.9140625
1,9,2,3,6.015625
1,10,2,3,1.98863636363636
2,1,2,3,1.28676470588235
2,2,2,3,1.89583333333333
2,3,2,3,1.70138888888889
2,4,2,3,0.203488372093023
2,5,2,3,0.729166666666667
3,1,2,3,0.230263157894737
3,2,2,3,1.20098039215686
3,3,2,3,1.14130434782609
3,4,2,3,1.69354838709677
3,5,2,3,3.02884615384615
3,6,2,3,0.405092592592593
3,7,2,3,1.09375
3,8,2,3,3.5
3,9,2,3,0
4,1,2,3,1.45833333333333
4,2,2,3,0.894886363636364
4,3,2,3,1.16071428571429
4,4,2,3,1.59558823529412
4,5,2,3,0.650826446280992
4,6,2,3,0.13671875
4,7,2,3,0.3125
4,8,2,3,1.28676470588235
4,9,2,3,0.729166666666667
4,10,2,3,1.12903225806452
4,11,2,3,0
